Airline,Source,Destination,Total_Stops,Price,Journey_day,Journey_month,Journey_year,hours,minutes,Arrival_hour,Arrival_min,duration_mins,duration_hours
Jet Airways,Delhi,Cochin,2.0,15129,24,5,2019,5,30,4,25,55,22
Air India,Banglore,Delhi,0.0,6961,1,6,2019,10,0,12,45,45,2
Air India,Delhi,Cochin,2.0,13538,15,5,2019,13,20,7,40,20,18
IndiGo,Banglore,New Delhi,1.0,7774,3,3,2019,5,25,10,10,45,4
Air India,Delhi,Cochin,2.0,13538,21,5,2019,13,20,7,40,20,18
Air Asia,Kolkata,Banglore,0.0,4409,15,4,2019,19,55,22,25,30,2
IndiGo,Mumbai,Hyderabad,0.0,5755,3,3,2019,19,5,20,30,25,1
GoAir,Delhi,Cochin,1.0,5897,9,6,2019,7,0,12,55,55,5
IndiGo,Kolkata,Banglore,0.0,4174,9,4,2019,21,25,0,5,40,2
IndiGo,Delhi,Cochin,1.0,6794,21,5,2019,17,30,1,30,0,8
SpiceJet,Chennai,Kolkata,0.0,3332,21,3,2019,8,20,10,35,15,2
Multiple carriers,Delhi,Cochin,1.0,15135,6,3,2019,11,30,18,50,20,7
Multiple carriers,Delhi,Cochin,1.0,17057,6,3,2019,2,15,13,20,5,11
Jet Airways,Banglore,Delhi,0.0,5198,9,5,2019,17,45,20,45,0,3
Air Asia,Banglore,New Delhi,0.0,7074,3,3,2019,5,50,8,40,50,2
Jet Airways,Delhi,Cochin,1.0,10262,9,6,2019,11,30,4,25,55,16
Jet Airways,Delhi,Cochin,1.0,10262,1,6,2019,19,15,12,35,20,17
Jet Airways,Banglore,Delhi,0.0,4544,3,4,2019,8,20,11,20,0,3
GoAir,Banglore,New Delhi,0.0,6722,3,3,2019,20,55,23,50,55,2
IndiGo,Delhi,Cochin,1.0,6496,9,6,2019,5,10,10,5,55,4
Jet Airways,Delhi,Cochin,1.0,9212,21,3,2019,20,50,4,25,35,7
Jet Airways,Delhi,Cochin,1.0,15764,6,3,2019,13,0,4,25,25,15
Multiple carriers,Delhi,Cochin,1.0,14067,21,5,2019,15,0,1,30,30,10
IndiGo,Banglore,Delhi,0.0,4823,6,4,2019,18,25,21,20,55,2
SpiceJet,Kolkata,Banglore,0.0,3841,9,5,2019,17,10,19,40,30,2
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,2019,20,0,22,35,35,26
Jet Airways,Banglore,New Delhi,1.0,11297,12,3,2019,5,50,12,20,30,6
Jet Airways,Banglore,New Delhi,1.0,8147,24,3,2019,8,55,9,0,5,24
SpiceJet,Banglore,Delhi,0.0,3573,1,4,2019,21,10,0,5,55,2
GoAir,Banglore,New Delhi,0.0,8722,15,3,2019,20,55,23,50,55,2
Jet Airways,Delhi,Cochin,1.0,15764,6,3,2019,11,30,4,25,55,16
Multiple carriers,Delhi,Cochin,1.0,11200,15,6,2019,8,30,19,0,30,10
Jet Airways,Kolkata,Banglore,1.0,14781,18,5,2019,5,45,18,15,30,12
IndiGo,Delhi,Cochin,2.0,6223,21,3,2019,4,55,21,20,25,16
SpiceJet,Kolkata,Banglore,0.0,3873,1,6,2019,6,55,9,30,35,2
Jet Airways,Kolkata,Banglore,1.0,14178,9,6,2019,20,0,4,40,40,8
SpiceJet,Banglore,Delhi,0.0,3573,6,6,2019,5,55,8,35,40,2
Air India,Kolkata,Banglore,1.0,8366,21,5,2019,9,25,21,50,25,12
Jet Airways,Kolkata,Banglore,1.0,14151,6,6,2019,9,35,23,35,0,14
Air India,Delhi,Cochin,2.0,10861,21,5,2019,5,55,19,15,20,13
IndiGo,Kolkata,Banglore,1.0,9806,24,3,2019,11,55,16,25,30,4
Air India,Kolkata,Banglore,1.0,6117,15,5,2019,19,0,11,5,5,16
IndiGo,Delhi,Cochin,1.0,5054,27,6,2019,7,35,12,10,35,4
Multiple carriers,Delhi,Cochin,1.0,10197,18,5,2019,9,0,19,0,0,10
Jet Airways,Mumbai,Hyderabad,0.0,4995,3,6,2019,10,20,11,50,30,1
Jet Airways,Kolkata,Banglore,1.0,12692,6,6,2019,9,35,9,45,10,24
SpiceJet,Banglore,Delhi,0.0,4423,9,6,2019,9,30,12,20,50,2
IndiGo,Mumbai,Hyderabad,0.0,2227,12,6,2019,20,5,21,40,35,1
Multiple carriers,Delhi,Cochin,1.0,12537,27,3,2019,9,55,21,0,5,11
Multiple carriers,Delhi,Cochin,1.0,8266,6,6,2019,6,0,19,15,15,13
Jet Airways,Delhi,Cochin,2.0,16809,6,3,2019,19,10,4,25,15,33
IndiGo,Banglore,Delhi,0.0,4823,6,5,2019,8,30,11,20,50,2
Multiple carriers,Delhi,Cochin,1.0,14502,3,6,2019,10,0,19,0,0,9
Jet Airways,Delhi,Cochin,2.0,14300,15,6,2019,12,15,4,25,10,16
Jet Airways,Delhi,Cochin,2.0,13344,1,6,2019,5,30,12,35,5,7
IndiGo,Mumbai,Hyderabad,0.0,4049,15,3,2019,9,10,10,40,30,1
IndiGo,Mumbai,Hyderabad,0.0,2754,3,4,2019,12,0,13,30,30,1
Air India,Kolkata,Banglore,1.0,14641,24,3,2019,16,50,18,30,40,25
IndiGo,Kolkata,Banglore,1.0,4775,6,5,2019,15,15,20,5,50,4
Air India,Banglore,New Delhi,1.0,8714,15,3,2019,6,45,15,15,30,8
Air Asia,Kolkata,Banglore,0.0,3807,24,6,2019,19,55,22,25,30,2
Jet Airways,Banglore,Delhi,0.0,3359,21,5,2019,15,50,18,45,55,2
Air India,Banglore,New Delhi,3.0,13081,1,3,2019,5,50,8,50,0,27
Multiple carriers,Delhi,Cochin,1.0,8099,15,5,2019,9,15,19,15,0,10
IndiGo,Delhi,Cochin,1.0,6069,18,5,2019,16,0,21,0,0,5
Jet Airways,Kolkata,Banglore,1.0,10844,1,5,2019,8,25,20,45,20,12
Air India,Kolkata,Banglore,0.0,4145,24,4,2019,20,45,23,20,35,2
GoAir,Delhi,Cochin,1.0,4959,15,6,2019,10,35,19,35,0,9
Air India,Kolkata,Banglore,2.0,12009,1,4,2019,9,25,10,30,5,25
Jet Airways,Banglore,New Delhi,1.0,9134,15,3,2019,7,0,15,15,15,8
IndiGo,Chennai,Kolkata,0.0,5277,24,5,2019,22,5,0,25,20,2
Jet Airways,Delhi,Cochin,1.0,10262,1,6,2019,20,55,4,25,30,7
Jet Airways,Banglore,New Delhi,1.0,26890,1,3,2019,7,0,15,15,15,8
Multiple carriers,Delhi,Cochin,1.0,14848,12,6,2019,9,0,19,15,15,10
Multiple carriers,Delhi,Cochin,1.0,11789,27,6,2019,7,30,19,0,30,11
Jet Airways,Banglore,Delhi,0.0,4544,27,4,2019,15,15,18,10,55,2
Air India,Delhi,Cochin,0.0,5201,15,6,2019,5,10,8,0,50,2
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,2019,9,35,23,35,0,14
Air India,Delhi,Cochin,1.0,5117,3,4,2019,6,5,9,25,20,27
Air India,Banglore,New Delhi,1.0,6781,3,3,2019,8,15,23,10,55,14
Air India,Delhi,Cochin,1.0,6902,27,3,2019,13,0,19,15,15,6
Jet Airways,Delhi,Cochin,1.0,14714,6,6,2019,14,0,4,25,25,14
Jet Airways,Delhi,Cochin,2.0,15129,18,5,2019,5,30,4,25,55,22
Air India,Delhi,Cochin,3.0,10493,15,6,2019,5,15,7,40,25,26
GoAir,Banglore,Delhi,0.0,4239,9,4,2019,20,55,23,40,45,2
Multiple carriers,Delhi,Cochin,1.0,6673,27,3,2019,13,0,1,35,35,12
Jet Airways,Kolkata,Banglore,1.0,12996,1,4,2019,8,25,16,20,55,7
IndiGo,Chennai,Kolkata,0.0,3858,15,6,2019,11,35,14,0,25,2
Jet Airways,Delhi,Cochin,1.0,12898,27,5,2019,10,0,4,25,25,18
IndiGo,Delhi,Cochin,0.0,6834,15,5,2019,21,5,0,20,15,3
SpiceJet,Delhi,Cochin,1.0,5264,12,6,2019,8,45,13,15,30,4
Vistara,Kolkata,Banglore,1.0,8610,1,5,2019,17,0,20,20,20,27
Jet Airways,Delhi,Cochin,1.0,6017,27,3,2019,2,15,18,50,35,16
IndiGo,Banglore,Delhi,0.0,3943,21,5,2019,21,15,0,15,0,3
Air India,Kolkata,Banglore,0.0,4145,9,5,2019,20,45,23,20,35,2
Jet Airways,Delhi,Cochin,2.0,13029,9,5,2019,9,40,19,0,20,9
Multiple carriers,Delhi,Cochin,3.0,21829,3,3,2019,11,35,21,0,25,9
Jet Airways,Delhi,Cochin,1.0,10262,9,6,2019,13,0,19,0,0,6
Jet Airways,Delhi,Cochin,0.0,7202,9,6,2019,11,0,14,15,15,3
Jet Airways,Delhi,Cochin,1.0,14714,1,6,2019,19,45,19,0,15,23
Air India,Kolkata,Banglore,2.0,6117,15,5,2019,9,10,4,40,30,19
IndiGo,Chennai,Kolkata,0.0,5277,6,5,2019,22,5,0,25,20,2
SpiceJet,Chennai,Kolkata,0.0,3597,18,5,2019,17,45,20,5,20,2
Air India,Kolkata,Banglore,2.0,10697,18,5,2019,8,20,21,50,30,13
Jet Airways,Delhi,Cochin,1.0,14714,6,6,2019,16,0,19,0,0,27
IndiGo,Banglore,Delhi,0.0,3943,1,5,2019,4,0,6,50,50,2
SpiceJet,Chennai,Kolkata,0.0,3384,27,3,2019,8,20,10,35,15,2
Air India,Delhi,Cochin,1.0,8582,1,6,2019,21,0,19,15,15,22
Jet Airways,Delhi,Cochin,1.0,12898,27,5,2019,15,0,4,25,25,13
IndiGo,Banglore,Delhi,0.0,4423,6,4,2019,10,10,13,0,50,2
Jet Airways,Delhi,Cochin,1.0,14714,3,6,2019,20,55,12,35,40,15
Jet Airways,Kolkata,Banglore,1.0,14151,21,5,2019,17,0,23,35,35,6
Jet Airways,Delhi,Cochin,1.0,14924,3,6,2019,7,5,12,35,30,5
Jet Airways,Kolkata,Banglore,1.0,5608,21,5,2019,10,20,17,35,15,7
SpiceJet,Banglore,New Delhi,0.0,3873,24,3,2019,9,35,12,30,55,2
Jet Airways,Banglore,New Delhi,1.0,16736,6,3,2019,8,0,19,10,10,11
Air India,Delhi,Cochin,2.0,12646,15,6,2019,12,55,19,15,20,30
Multiple carriers,Delhi,Cochin,1.0,11264,27,5,2019,7,30,19,0,30,11
SpiceJet,Mumbai,Hyderabad,0.0,1965,24,5,2019,22,45,0,15,30,1
Air India,Banglore,New Delhi,1.0,26092,1,3,2019,11,50,23,55,5,12
IndiGo,Banglore,New Delhi,1.0,8021,15,3,2019,5,25,10,10,45,4
IndiGo,Delhi,Cochin,1.0,6171,24,4,2019,5,5,12,10,5,7
Air India,Delhi,Cochin,2.0,10975,15,5,2019,7,5,9,25,20,26
IndiGo,Kolkata,Banglore,1.0,4864,12,6,2019,7,10,12,40,30,5
Air Asia,Kolkata,Banglore,2.0,5192,24,5,2019,15,10,23,30,20,8
Multiple carriers,Delhi,Cochin,1.0,13069,21,3,2019,8,25,18,50,25,10
Jet Airways,Delhi,Cochin,2.0,13029,18,5,2019,5,30,4,25,55,22
IndiGo,Chennai,Kolkata,0.0,3597,27,5,2019,19,35,21,55,20,2
Jet Airways,Kolkata,Banglore,1.0,8355,9,5,2019,10,20,17,35,15,7
IndiGo,Delhi,Cochin,1.0,5073,27,3,2019,7,35,12,0,25,4
Jet Airways,Delhi,Cochin,1.0,14924,12,6,2019,8,0,19,0,0,11
Air India,Delhi,Cochin,2.0,8236,21,3,2019,16,40,19,15,35,26
Jet Airways,Banglore,Delhi,0.0,7229,9,5,2019,7,10,10,10,0,3
Jet Airways,Kolkata,Banglore,1.0,10953,6,5,2019,17,0,9,45,45,16
Air India,Delhi,Cochin,2.0,12497,24,6,2019,13,15,7,40,25,18
SpiceJet,Mumbai,Hyderabad,0.0,2175,9,5,2019,13,15,14,45,30,1
Air Asia,Kolkata,Banglore,1.0,5554,24,3,2019,19,55,23,30,35,3
Jet Airways,Banglore,New Delhi,1.0,25735,1,3,2019,11,40,10,25,45,22
Jet Airways,Mumbai,Hyderabad,0.0,4995,27,5,2019,7,5,8,30,25,1
Jet Airways,Delhi,Cochin,1.0,10577,9,6,2019,19,15,4,25,10,9
SpiceJet,Banglore,Delhi,0.0,4319,18,4,2019,5,55,8,35,40,2
Jet Airways,Delhi,Cochin,2.0,13014,3,6,2019,5,30,19,0,30,13
Jet Airways,Kolkata,Banglore,1.0,14571,24,5,2019,14,5,22,35,30,8
Jet Airways,Kolkata,Banglore,1.0,9663,15,5,2019,18,55,9,20,25,14
Jet Airways,Kolkata,Banglore,1.0,8586,21,5,2019,21,10,4,40,30,7
Jet Airways,Kolkata,Banglore,1.0,10844,18,5,2019,16,30,18,15,45,25
Jet Airways,Kolkata,Banglore,1.0,10844,6,6,2019,8,25,20,45,20,12
Multiple carriers,Delhi,Cochin,1.0,7670,15,5,2019,8,45,21,0,15,12
Air India,Kolkata,Banglore,2.0,12639,1,4,2019,10,0,5,25,25,19
Air India,Delhi,Cochin,1.0,9719,27,5,2019,3,50,19,15,25,15
Air India,Delhi,Cochin,2.0,8052,9,4,2019,17,15,7,40,25,14
Air India,Kolkata,Banglore,2.0,10676,21,5,2019,12,0,7,55,55,19
Jet Airways,Delhi,Cochin,1.0,12898,21,5,2019,15,0,4,25,25,13
Jet Airways,Delhi,Cochin,1.0,14714,3,6,2019,19,45,12,35,50,16
Jet Airways,Kolkata,Banglore,1.0,12996,1,4,2019,6,30,16,20,50,9
Vistara,Kolkata,Banglore,1.0,9187,18,5,2019,20,20,10,45,25,14
Multiple carriers,Delhi,Cochin,1.0,7787,15,5,2019,6,40,19,15,35,12
IndiGo,Delhi,Cochin,0.0,5601,21,5,2019,14,25,17,40,15,3
Jet Airways,Delhi,Cochin,1.0,16079,21,5,2019,16,0,19,0,0,27
IndiGo,Chennai,Kolkata,0.0,3384,21,3,2019,19,35,21,55,20,2
IndiGo,Banglore,New Delhi,0.0,6144,24,3,2019,7,10,10,5,55,2
Jet Airways,Delhi,Cochin,2.0,8882,27,3,2019,19,10,19,45,35,24
Jet Airways,Delhi,Cochin,2.0,11507,15,6,2019,9,35,4,25,50,18
Jet Airways,Kolkata,Banglore,1.0,14571,6,6,2019,6,30,16,20,50,9
GoAir,Kolkata,Banglore,1.0,6354,9,6,2019,23,30,7,45,15,8
Multiple carriers Premium economy,Delhi,Cochin,1.0,9845,21,3,2019,6,0,21,0,0,15
IndiGo,Banglore,Delhi,0.0,3419,18,6,2019,22,10,1,0,50,2
Air India,Delhi,Cochin,1.0,8907,21,5,2019,9,30,23,0,30,13
Jet Airways,Delhi,Cochin,2.0,13014,9,6,2019,19,30,4,25,55,8
SpiceJet,Mumbai,Hyderabad,0.0,2017,15,6,2019,22,45,0,15,30,1
IndiGo,Kolkata,Banglore,1.0,3574,21,5,2019,19,20,23,45,25,4
Multiple carriers,Delhi,Cochin,1.0,7887,18,5,2019,8,30,19,15,45,10
Jet Airways,Banglore,Delhi,0.0,5198,18,4,2019,15,15,18,10,55,2
SpiceJet,Banglore,Delhi,0.0,3971,9,4,2019,21,10,0,5,55,2
Air India,Delhi,Cochin,2.0,12436,27,5,2019,12,55,19,15,20,30
IndiGo,Delhi,Cochin,1.0,5883,27,6,2019,18,35,1,30,55,6
IndiGo,Delhi,Cochin,1.0,5883,24,6,2019,18,35,1,30,55,6
Jet Airways,Banglore,New Delhi,1.0,13817,12,3,2019,5,45,21,20,35,15
Air India,Banglore,Delhi,0.0,6121,1,5,2019,6,10,8,55,45,2
Jet Airways,Kolkata,Banglore,1.0,13759,24,3,2019,21,10,4,45,35,7
Air India,Banglore,New Delhi,1.0,6824,21,3,2019,8,50,23,15,25,14
SpiceJet,Chennai,Kolkata,0.0,6300,15,3,2019,8,20,10,35,15,2
Jet Airways,Delhi,Cochin,2.0,10919,1,6,2019,6,45,4,25,40,21
Jet Airways,Banglore,Delhi,0.0,5769,3,6,2019,15,15,18,10,55,2
Jet Airways,Delhi,Cochin,1.0,12557,21,3,2019,17,30,18,50,20,25
Jet Airways,Delhi,Cochin,1.0,12373,18,5,2019,18,15,12,35,20,18
SpiceJet,Mumbai,Hyderabad,0.0,2017,9,5,2019,5,45,7,15,30,1
IndiGo,Delhi,Cochin,1.0,5458,9,6,2019,20,25,1,30,5,5
Air India,Delhi,Cochin,2.0,11281,15,5,2019,22,0,19,15,15,21
Jet Airways,Kolkata,Banglore,1.0,14781,15,5,2019,8,25,20,45,20,12
Air India,Delhi,Cochin,2.0,11989,24,6,2019,17,15,19,15,0,26
IndiGo,Delhi,Cochin,1.0,8330,9,5,2019,10,35,1,30,55,14
Air Asia,Banglore,New Delhi,0.0,4284,24,3,2019,5,50,8,40,50,2
IndiGo,Delhi,Cochin,1.0,6842,1,6,2019,5,10,10,5,55,4
SpiceJet,Banglore,New Delhi,0.0,7648,3,3,2019,9,35,12,30,55,2
Air Asia,Kolkata,Banglore,0.0,4384,6,3,2019,22,50,1,20,30,2
IndiGo,Banglore,Delhi,0.0,3943,18,6,2019,5,30,8,20,50,2
IndiGo,Kolkata,Banglore,0.0,4804,24,6,2019,17,15,19,50,35,2
Jet Airways,Mumbai,Hyderabad,0.0,5678,18,5,2019,2,55,4,20,25,1
Air India,Kolkata,Banglore,0.0,5170,18,3,2019,14,15,16,45,30,2
IndiGo,Delhi,Cochin,1.0,6755,9,3,2019,7,45,13,40,55,5
IndiGo,Kolkata,Banglore,0.0,4462,9,3,2019,10,10,12,55,45,2
IndiGo,Chennai,Kolkata,0.0,8580,1,3,2019,7,55,10,15,20,2
Jet Airways,Mumbai,Hyderabad,0.0,5678,27,3,2019,19,35,21,5,30,1
Multiple carriers,Delhi,Cochin,1.0,8837,27,5,2019,6,40,19,15,35,12
Jet Airways,Delhi,Cochin,2.0,8367,21,3,2019,10,45,18,50,5,8
Jet Airways,Banglore,Delhi,0.0,4544,27,4,2019,19,50,22,50,0,3
SpiceJet,Mumbai,Hyderabad,0.0,2647,21,6,2019,5,45,7,15,30,1
IndiGo,Delhi,Cochin,1.0,6938,1,6,2019,14,20,22,30,10,8
Air India,Delhi,Cochin,2.0,13591,15,6,2019,20,15,19,15,0,23
Multiple carriers,Delhi,Cochin,1.0,8930,3,6,2019,9,0,21,0,0,12
Jet Airways,Banglore,New Delhi,1.0,17261,6,3,2019,16,55,9,0,5,16
Vistara,Banglore,Delhi,0.0,4668,1,6,2019,11,30,14,20,50,2
IndiGo,Chennai,Kolkata,0.0,5277,12,5,2019,22,5,0,25,20,2
Air India,Delhi,Cochin,2.0,10441,3,6,2019,19,45,19,15,30,23
IndiGo,Banglore,Delhi,0.0,4823,27,6,2019,8,30,11,20,50,2
IndiGo,Kolkata,Banglore,0.0,4804,15,5,2019,9,35,12,20,45,2
Multiple carriers,Delhi,Cochin,1.0,15147,6,3,2019,10,20,1,35,15,15
Air India,Kolkata,Banglore,2.0,14960,12,6,2019,9,50,8,55,5,23
Jet Airways,Mumbai,Hyderabad,0.0,5678,1,6,2019,7,5,8,30,25,1
Vistara,Kolkata,Banglore,1.0,16092,24,3,2019,9,55,18,45,50,8
Air India,Kolkata,Banglore,2.0,9416,9,5,2019,12,0,7,55,55,19
Air India,Kolkata,Banglore,1.0,12173,24,3,2019,20,30,20,25,55,23
Jet Airways,Delhi,Cochin,1.0,13843,6,3,2019,13,55,4,25,30,14
Jet Airways,Kolkata,Banglore,1.0,7064,1,4,2019,16,30,8,15,45,15
IndiGo,Kolkata,Banglore,1.0,4226,24,4,2019,19,35,23,15,40,3
Jet Airways,Delhi,Cochin,2.0,9412,27,3,2019,17,35,4,25,50,10
Jet Airways,Banglore,New Delhi,1.0,13555,18,3,2019,21,25,10,25,0,13
Jet Airways,Delhi,Cochin,1.0,10262,6,6,2019,7,5,19,0,55,11
Air India,Banglore,New Delhi,2.0,13576,1,3,2019,11,5,22,10,5,11
IndiGo,Kolkata,Banglore,1.0,5069,12,6,2019,8,10,13,0,50,4
IndiGo,Delhi,Cochin,1.0,14871,6,3,2019,9,10,21,0,50,11
Jet Airways,Kolkata,Banglore,1.0,14231,24,3,2019,18,55,16,20,25,21
Jet Airways,Banglore,Delhi,0.0,7229,6,5,2019,19,50,22,50,0,3
SpiceJet,Delhi,Cochin,1.0,4760,27,6,2019,8,45,13,15,30,4
Multiple carriers,Delhi,Cochin,1.0,9103,21,5,2019,11,25,19,0,35,7
Jet Airways,Kolkata,Banglore,1.0,12471,12,6,2019,16,30,4,40,10,12
Jet Airways,Delhi,Cochin,1.0,16079,27,5,2019,9,0,19,0,0,10
IndiGo,Delhi,Cochin,1.0,6171,9,3,2019,4,55,12,0,5,7
Multiple carriers,Delhi,Cochin,1.0,9838,21,3,2019,4,45,12,35,50,7
Jet Airways,Banglore,Delhi,0.0,4544,6,4,2019,7,10,10,10,0,3
Vistara,Banglore,Delhi,0.0,5613,18,4,2019,17,0,19,35,35,2
Multiple carriers,Delhi,Cochin,1.0,8835,1,6,2019,4,55,19,15,20,14
Air India,Kolkata,Banglore,2.0,12723,15,5,2019,5,50,16,15,25,34
Air India,Kolkata,Banglore,1.0,8030,1,4,2019,9,50,21,5,15,11
Multiple carriers,Delhi,Cochin,1.0,13587,27,6,2019,14,0,21,0,0,7
Jet Airways,Kolkata,Banglore,1.0,14151,24,5,2019,20,25,23,35,10,27
Jet Airways,Delhi,Cochin,1.0,10262,6,6,2019,15,0,19,0,0,28
SpiceJet,Delhi,Cochin,1.0,4760,15,5,2019,8,45,13,15,30,4
Vistara,Banglore,Delhi,0.0,5613,18,4,2019,21,0,23,50,50,2
Jet Airways,Delhi,Cochin,2.0,13292,24,6,2019,9,35,4,25,50,18
Jet Airways,Delhi,Cochin,1.0,10262,27,6,2019,15,0,19,0,0,28
Air India,Kolkata,Banglore,3.0,8607,1,4,2019,16,45,23,15,30,30
GoAir,Banglore,Delhi,0.0,3898,3,6,2019,11,40,14,30,50,2
SpiceJet,Banglore,Delhi,0.0,3919,3,4,2019,21,10,0,5,55,2
Air India,Delhi,Cochin,3.0,15586,9,3,2019,5,15,19,15,0,38
Air India,Delhi,Cochin,1.0,8907,1,6,2019,13,30,23,0,30,9
Multiple carriers,Delhi,Cochin,1.0,8371,27,3,2019,6,0,19,15,15,13
Air India,Delhi,Cochin,2.0,12287,3,3,2019,21,30,19,15,45,21
IndiGo,Kolkata,Banglore,0.0,4804,18,6,2019,22,15,0,50,35,2
IndiGo,Kolkata,Banglore,0.0,4804,3,6,2019,15,30,18,5,35,2
Jet Airways,Banglore,New Delhi,1.0,13817,12,3,2019,16,55,23,0,5,6
Air India,Delhi,Cochin,2.0,12698,3,6,2019,7,10,19,15,5,12
Jet Airways,Delhi,Cochin,1.0,7438,27,3,2019,21,50,19,45,55,21
Multiple carriers Premium economy,Delhi,Cochin,1.0,11269,21,3,2019,6,0,13,20,20,7
IndiGo,Mumbai,Hyderabad,0.0,3175,24,6,2019,16,55,18,25,30,1
Air Asia,Kolkata,Banglore,0.0,4107,3,4,2019,19,55,22,25,30,2
Air India,Banglore,New Delhi,2.0,15119,1,3,2019,5,50,16,20,30,10
Jet Airways,Banglore,Delhi,0.0,7229,12,5,2019,15,15,18,10,55,2
Jet Airways,Kolkata,Banglore,1.0,13067,6,5,2019,20,25,15,5,40,18
SpiceJet,Chennai,Kolkata,0.0,3597,6,6,2019,8,20,10,35,15,2
IndiGo,Chennai,Kolkata,0.0,5277,21,6,2019,22,5,0,25,20,2
Air India,Banglore,New Delhi,2.0,11213,1,3,2019,10,30,21,25,55,10
Air India,Delhi,Cochin,3.0,9128,21,3,2019,5,15,19,15,0,38
Vistara,Kolkata,Banglore,1.0,8452,6,5,2019,7,10,22,40,30,15
Jet Airways,Kolkata,Banglore,1.0,14781,15,5,2019,16,30,10,5,35,17
IndiGo,Delhi,Cochin,1.0,6442,15,5,2019,6,50,16,10,20,9
Jet Airways,Delhi,Cochin,2.0,10824,15,6,2019,9,35,12,35,0,27
Jet Airways,Banglore,Delhi,0.0,4030,9,5,2019,6,0,8,45,45,2
Air India,Delhi,Cochin,2.0,18211,9,3,2019,18,30,19,15,45,24
Jet Airways,Delhi,Cochin,1.0,10262,15,6,2019,2,15,19,0,45,16
IndiGo,Delhi,Cochin,1.0,5636,1,6,2019,2,0,7,25,25,5
SpiceJet,Kolkata,Banglore,0.0,4807,21,4,2019,22,20,0,40,20,2
SpiceJet,Banglore,Delhi,0.0,3257,27,5,2019,21,10,0,5,55,2
Jet Airways,Delhi,Cochin,1.0,14924,9,6,2019,19,45,19,0,15,23
Jet Airways,Banglore,New Delhi,1.0,20800,1,3,2019,14,5,10,25,20,20
Jet Airways,Kolkata,Banglore,1.0,14388,1,5,2019,20,0,9,20,20,13
Air India,Delhi,Cochin,1.0,6587,21,3,2019,19,0,19,15,15,24
Air India,Delhi,Cochin,1.0,7174,27,5,2019,17,40,23,0,20,5
Vistara,Kolkata,Banglore,1.0,11105,24,3,2019,20,20,22,10,50,25
Jet Airways,Kolkata,Banglore,1.0,13067,21,5,2019,9,35,9,45,10,24
Air India,Kolkata,Banglore,2.0,14214,9,5,2019,14,30,8,55,25,18
Jet Airways,Kolkata,Banglore,1.0,12692,12,6,2019,20,25,9,45,20,13
Air Asia,Delhi,Cochin,1.0,6451,9,4,2019,20,45,7,10,25,10
IndiGo,Banglore,Delhi,0.0,3943,24,6,2019,13,0,15,50,50,2
IndiGo,Kolkata,Banglore,0.0,4804,3,5,2019,20,20,22,55,35,2
IndiGo,Mumbai,Hyderabad,0.0,2754,9,6,2019,12,0,13,30,30,1
Multiple carriers,Delhi,Cochin,1.0,9646,18,5,2019,9,45,16,10,25,6
Multiple carriers,Delhi,Cochin,1.0,13587,12,6,2019,9,0,21,0,0,12
Jet Airways,Banglore,Delhi,0.0,7229,27,5,2019,19,50,22,50,0,3
Jet Airways,Banglore,Delhi,0.0,7229,6,5,2019,6,0,8,45,45,2
Jet Airways,Kolkata,Banglore,1.0,10539,9,6,2019,17,0,19,10,10,26
Jet Airways,Delhi,Cochin,2.0,12647,21,3,2019,5,30,4,25,55,22
IndiGo,Chennai,Kolkata,0.0,3540,15,6,2019,5,15,7,40,25,2
Jet Airways,Kolkata,Banglore,1.0,8529,12,6,2019,18,55,23,35,40,28
Vistara,Kolkata,Banglore,1.0,8610,1,5,2019,17,0,18,50,50,25
Jet Airways,Kolkata,Banglore,1.0,8586,15,5,2019,6,30,23,35,5,17
IndiGo,Delhi,Cochin,1.0,6232,21,3,2019,16,0,21,0,0,5
Jet Airways,Delhi,Cochin,1.0,18371,24,6,2019,2,15,12,35,20,10
IndiGo,Banglore,New Delhi,0.0,7303,24,3,2019,18,25,21,20,55,2
Air India,Kolkata,Banglore,1.0,6327,24,5,2019,19,0,4,40,40,9
Jet Airways,Kolkata,Banglore,1.0,10844,21,5,2019,20,0,8,15,15,12
IndiGo,Delhi,Cochin,1.0,6442,3,6,2019,11,55,22,30,35,10
Jet Airways,Kolkata,Banglore,1.0,11467,1,4,2019,9,35,18,0,25,8
Jet Airways,Delhi,Cochin,1.0,10262,24,6,2019,15,0,19,0,0,28
Multiple carriers,Delhi,Cochin,1.0,8055,27,3,2019,7,30,21,0,30,13
IndiGo,Kolkata,Banglore,1.0,6933,24,3,2019,17,35,22,15,40,4
Jet Airways,Banglore,New Delhi,1.0,17471,6,3,2019,20,35,19,10,35,22
Jet Airways,Delhi,Cochin,2.0,15129,18,5,2019,9,40,12,35,55,26
Air Asia,Banglore,Delhi,0.0,3383,12,6,2019,23,55,2,45,50,2
Jet Airways,Delhi,Cochin,1.0,10262,6,6,2019,11,30,4,25,55,16
IndiGo,Delhi,Cochin,1.0,6093,9,6,2019,6,40,21,0,20,14
Multiple carriers,Delhi,Cochin,1.0,6795,15,6,2019,19,0,1,30,30,6
Jet Airways,Kolkata,Banglore,1.0,9663,9,5,2019,8,25,9,20,55,24
GoAir,Delhi,Cochin,1.0,5281,12,6,2019,7,0,12,55,55,5
